,0,1
67,10-Things-I-Hate-About-You,https://www.imsdb.com/scripts/10-Things-I-Hate-About-You.html
68,12,https://www.imsdb.com/scripts/12.html
69,12-and-Holding,https://www.imsdb.com/scripts/12-and-Holding.html
70,12-Monkeys,https://www.imsdb.com/scripts/12-Monkeys.html
71,12-Years-a-Slave,https://www.imsdb.com/scripts/12-Years-a-Slave.html
72,127-Hours,https://www.imsdb.com/scripts/127-Hours.html
73,1492:-Conquest-of-Paradise,https://www.imsdb.com/scripts/1492:-Conquest-of-Paradise.html
74,15-Minutes,https://www.imsdb.com/scripts/15-Minutes.html
75,17-Again,https://www.imsdb.com/scripts/17-Again.html
76,187,https://www.imsdb.com/scripts/187.html
77,2001:-A-Space-Odyssey,https://www.imsdb.com/scripts/2001:-A-Space-Odyssey.html
78,2012,https://www.imsdb.com/scripts/2012.html
79,25th-Hour,https://www.imsdb.com/scripts/25th-Hour.html
80,28-Days-Later,https://www.imsdb.com/scripts/28-Days-Later.html
81,30-Minutes-or-Less,https://www.imsdb.com/scripts/30-Minutes-or-Less.html
82,42,https://www.imsdb.com/scripts/42.html
83,44-Inch-Chest,https://www.imsdb.com/scripts/44-Inch-Chest.html
84,48-Hrs.,https://www.imsdb.com/scripts/48-Hrs..html
85,50-50,https://www.imsdb.com/scripts/50-50.html
86,500-Days-of-Summer,https://www.imsdb.com/scripts/500-Days-of-Summer.html
87,8-Mile,https://www.imsdb.com/scripts/8-Mile.html
88,8MM,https://www.imsdb.com/scripts/8MM.html
89,9,https://www.imsdb.com/scripts/9.html
90,A-Few-Good-Men,https://www.imsdb.com/scripts/A-Few-Good-Men.html
91,A-Most-Violent-Year,https://www.imsdb.com/scripts/A-Most-Violent-Year.html
92,A-Prayer-Before-Dawn,https://www.imsdb.com/scripts/A-Prayer-Before-Dawn.html
93,A-Quiet-Place,https://www.imsdb.com/scripts/A-Quiet-Place.html
94,A-Scanner-Darkly,https://www.imsdb.com/scripts/A-Scanner-Darkly.html
95,A-Serious-Man,https://www.imsdb.com/scripts/A-Serious-Man.html
96,A.I.,https://www.imsdb.com/scripts/A.I..html
97,Above-the-Law,https://www.imsdb.com/scripts/Above-the-Law.html
98,Absolute-Power,https://www.imsdb.com/scripts/Absolute-Power.html
99,"Abyss,-The","https://www.imsdb.com/scripts/Abyss,-The.html"
100,Ace-Ventura:-Pet-Detective,https://www.imsdb.com/scripts/Ace-Ventura:-Pet-Detective.html
101,Adaptation,https://www.imsdb.com/scripts/Adaptation.html
102,"Addams-Family,-The","https://www.imsdb.com/scripts/Addams-Family,-The.html"
103,"Adjustment-Bureau,-The","https://www.imsdb.com/scripts/Adjustment-Bureau,-The.html"
104,"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The","https://www.imsdb.com/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html"
105,Affliction,https://www.imsdb.com/scripts/Affliction.html
106,After-School-Special,https://www.imsdb.com/scripts/After-School-Special.html
107,After.Life,https://www.imsdb.com/scripts/After.Life.html
108,Agnes-of-God,https://www.imsdb.com/scripts/Agnes-of-God.html
109,Air-Force-One,https://www.imsdb.com/scripts/Air-Force-One.html
110,Airplane,https://www.imsdb.com/scripts/Airplane.html
111,Airplane-2:-The-Sequel,https://www.imsdb.com/scripts/Airplane-2:-The-Sequel.html
112,Aladdin,https://www.imsdb.com/scripts/Aladdin.html
113,Ali,https://www.imsdb.com/scripts/Ali.html
114,Alien,https://www.imsdb.com/scripts/Alien.html
115,Alien-3,https://www.imsdb.com/scripts/Alien-3.html
116,Alien-Nation,https://www.imsdb.com/scripts/Alien-Nation.html
117,Alien-vs.-Predator,https://www.imsdb.com/scripts/Alien-vs.-Predator.html
118,Alien:-Resurrection,https://www.imsdb.com/scripts/Alien:-Resurrection.html
119,Aliens,https://www.imsdb.com/scripts/Aliens.html
120,All-About-Eve,https://www.imsdb.com/scripts/All-About-Eve.html
121,All-About-Steve,https://www.imsdb.com/scripts/All-About-Steve.html
122,All-the-King's-Men,https://www.imsdb.com/scripts/All-the-King's-Men.html
123,All-the-President's-Men,https://www.imsdb.com/scripts/All-the-President's-Men.html
124,Almost-Famous,https://www.imsdb.com/scripts/Almost-Famous.html
125,Alone-in-the-Dark,https://www.imsdb.com/scripts/Alone-in-the-Dark.html
126,Amadeus,https://www.imsdb.com/scripts/Amadeus.html
127,Amelia,https://www.imsdb.com/scripts/Amelia.html
128,American-Beauty,https://www.imsdb.com/scripts/American-Beauty.html
129,American-Gangster,https://www.imsdb.com/scripts/American-Gangster.html
130,American-Graffiti,https://www.imsdb.com/scripts/American-Graffiti.html
131,American-History-X,https://www.imsdb.com/scripts/American-History-X.html
132,American-Hustle,https://www.imsdb.com/scripts/American-Hustle.html
133,American-Madness,https://www.imsdb.com/scripts/American-Madness.html
134,American-Milkshake,https://www.imsdb.com/scripts/American-Milkshake.html
135,American-Outlaws,https://www.imsdb.com/scripts/American-Outlaws.html
136,American-Pie,https://www.imsdb.com/scripts/American-Pie.html
137,"American-President,-The","https://www.imsdb.com/scripts/American-President,-The.html"
138,American-Psycho,https://www.imsdb.com/scripts/American-Psycho.html
139,American-Shaolin:-King-of-Kickboxers-II,https://www.imsdb.com/scripts/American-Shaolin:-King-of-Kickboxers-II.html
140,American-Sniper,https://www.imsdb.com/scripts/American-Sniper.html
141,American-Splendor,https://www.imsdb.com/scripts/American-Splendor.html
142,American-Werewolf-in-London,https://www.imsdb.com/scripts/American-Werewolf-in-London.html
143,"American,-The","https://www.imsdb.com/scripts/American,-The.html"
144,"Amityville-Asylum,-The","https://www.imsdb.com/scripts/Amityville-Asylum,-The.html"
145,Amour,https://www.imsdb.com/scripts/Amour.html
146,An-Education,https://www.imsdb.com/scripts/An-Education.html
147,Analyze-That,https://www.imsdb.com/scripts/Analyze-That.html
148,Analyze-This,https://www.imsdb.com/scripts/Analyze-This.html
149,Anastasia,https://www.imsdb.com/scripts/Anastasia.html
150,Angel-Eyes,https://www.imsdb.com/scripts/Angel-Eyes.html
151,Angels-&-Demons,https://www.imsdb.com/scripts/Angels-&-Demons.html
152,Anna-Karenina,https://www.imsdb.com/scripts/Anna-Karenina.html
153,Annie-Hall,https://www.imsdb.com/scripts/Annie-Hall.html
154,"Anniversary-Party,-The","https://www.imsdb.com/scripts/Anniversary-Party,-The.html"
155,Anonymous,https://www.imsdb.com/scripts/Anonymous.html
156,Antitrust,https://www.imsdb.com/scripts/Antitrust.html
157,Antz,https://www.imsdb.com/scripts/Antz.html
158,"Apartment,-The","https://www.imsdb.com/scripts/Apartment,-The.html"
159,Apocalypse-Now,https://www.imsdb.com/scripts/Apocalypse-Now.html
160,Apollo-13,https://www.imsdb.com/scripts/Apollo-13.html
161,April-Fool's-Day,https://www.imsdb.com/scripts/April-Fool's-Day.html
162,Apt-Pupil,https://www.imsdb.com/scripts/Apt-Pupil.html
163,Arbitrage,https://www.imsdb.com/scripts/Arbitrage.html
164,Arcade,https://www.imsdb.com/scripts/Arcade.html
165,Arctic-Blue,https://www.imsdb.com/scripts/Arctic-Blue.html
166,Argo,https://www.imsdb.com/scripts/Argo.html
167,Armageddon,https://www.imsdb.com/scripts/Armageddon.html
168,Army-of-Darkness,https://www.imsdb.com/scripts/Army-of-Darkness.html
169,Arsenic-and-Old-Lace,https://www.imsdb.com/scripts/Arsenic-and-Old-Lace.html
170,Arthur,https://www.imsdb.com/scripts/Arthur.html
171,"Artist,-The","https://www.imsdb.com/scripts/Artist,-The.html"
172,As-Good-As-It-Gets,https://www.imsdb.com/scripts/As-Good-As-It-Gets.html
